IndexName,Year,Type,StartDate,EndDate,WorstDate,Value,Reason,Source,Method,Plot
Nifty Auto,2024,Underperformance,2024-11-28,2024-12-31,2024-12-30,-24.66,Late-year auto weakness vs prior-year path,,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\AUTOBEES_NS_underperformance.png
Nifty Auto,2024,Sudden crash,,,2024-10-25,-13.45,Late-year auto weakness vs prior-year path,,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\AUTOBEES_NS_underperformance.png
Nifty Auto,2025,Underperformance,2025-02-14,2025-11-11,2025-08-01,-42.08,"Tariff worries, muted Q4 outlook, demand caution",https://www.etnownews.com/markets/tata-motors-samvardhana-motherson-mm-shares-why-nifty-auto-stocks-are-falling-today-article-119575880,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\AUTOBEES_NS_underperformance.png
Nifty Auto,2025,Sudden crash,,,2025-03-04,-13.11,"Tariff worries, muted Q4 outlook, demand caution",https://www.etnownews.com/markets/tata-motors-samvardhana-motherson-mm-shares-why-nifty-auto-stocks-are-falling-today-article-119575880,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\AUTOBEES_NS_underperformance.png
Nifty Auto,2026,Underperformance,2026-05-15,2026-05-22,2026-05-18,-14.01,"March 2026 risk-off selling, oil shock, FII outflows",https://economictimes.indiatimes.com/markets/stocks/news/banks-are-not-the-only-villains-in-niftys-600-points-crash-autos-fair-worse-with-up-to-4-index-fall/articleshow/129676165.cms,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\AUTOBEES_NS_underperformance.png
Nifty Auto,2026,Sudden crash,,,2026-03-30,-17.08,"March 2026 risk-off selling, oil shock, FII outflows",https://economictimes.indiatimes.com/markets/stocks/news/banks-are-not-the-only-villains-in-niftys-600-points-crash-autos-fair-worse-with-up-to-4-index-fall/articleshow/129676165.cms,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\AUTOBEES_NS_underperformance.png
Nifty Bank,2022,Underperformance,2022-02-07,2022-03-29,2022-03-07,-22.72,"Inflation, hawkish Fed, Ukraine-war risk-off selling",https://www.moneycontrol.com/news/business/markets/as-sensex-nifty-hit-two-month-low-here-are-factors-driving-the-sell-off-on-dalal-street-8463841.html,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\NSEBANK_underperformance.png
Nifty Bank,2022,Sudden crash,,,2022-03-07,-15.26,"Inflation, hawkish Fed, Ukraine-war risk-off selling",https://www.moneycontrol.com/news/business/markets/as-sensex-nifty-hit-two-month-low-here-are-factors-driving-the-sell-off-on-dalal-street-8463841.html,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\NSEBANK_underperformance.png
Nifty Bank,2023,Underperformance,2023-10-23,2023-12-14,2023-11-24,-16.96,Banking sector volatility after global bank stress,,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\NSEBANK_underperformance.png
Nifty Bank,2026,Underperformance,2026-04-16,2026-08-25,2026-06-08,-20.78,FII selling hit financials hardest in March 2026,https://www.moneycontrol.com/news/business/earnings/fiis-dump-rs-60-000-crore-financial-stocks-in-march-as-yields-spike-rbi-moves-13881564.html,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\NSEBANK_underperformance.png
Nifty Bank,2026,Sudden crash,,,2026-03-30,-17.83,FII selling hit financials hardest in March 2026,https://www.moneycontrol.com/news/business/earnings/fiis-dump-rs-60-000-crore-financial-stocks-in-march-as-yields-spike-rbi-moves-13881564.html,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\NSEBANK_underperformance.png
Nifty Financial Services,2026,Underperformance,2026-04-15,2026-08-26,2026-06-08,-30.26,Heavy FII outflows from financial stocks,https://www.moneycontrol.com/news/business/earnings/fiis-dump-rs-60-000-crore-financial-stocks-in-march-as-yields-spike-rbi-moves-13881564.html,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\FINIETF_NS_underperformance.png
Nifty Financial Services,2026,Sudden crash,,,2026-03-30,-15.47,Heavy FII outflows from financial stocks,https://www.moneycontrol.com/news/business/earnings/fiis-dump-rs-60-000-crore-financial-stocks-in-march-as-yields-spike-rbi-moves-13881564.html,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\FINIETF_NS_underperformance.png
Nifty FMCG,2024,Underperformance,2024-10-17,2024-12-31,2024-12-30,-29.91,Demand softness and input-cost pressure,,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\FMCGIETF_NS_underperformance.png
Nifty FMCG,2024,Sudden crash,,,2024-10-24,-10.85,Demand softness and input-cost pressure,,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\FMCGIETF_NS_underperformance.png
Nifty FMCG,2025,Underperformance,2025-07-24,2025-10-16,2025-09-23,-18.73,"Weak urban demand, margin pressure, high valuations",https://www.livemint.com/market/mark-to-market/fmcg-stocks-india-nifty-fmcg-index-urban-consumption-india-fmcg-earnings-estimates-fmcg-margin-pressure-rural-india-11742805170103.html,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\FMCGIETF_NS_underperformance.png
Nifty FMCG,2025,Sudden crash,,,2025-03-03,-12.32,"Weak urban demand, margin pressure, high valuations",https://www.livemint.com/market/mark-to-market/fmcg-stocks-india-nifty-fmcg-index-urban-consumption-india-fmcg-earnings-estimates-fmcg-margin-pressure-rural-india-11742805170103.html,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\FMCGIETF_NS_underperformance.png
Nifty FMCG,2026,Underperformance,2026-08-19,2026-08-26,2026-08-26,-11.7,March 2026 broad selloff and FMCG FII outflows,https://www.moneycontrol.com/news/business/earnings/fiis-dump-rs-60-000-crore-financial-stocks-in-march-as-yields-spike-rbi-moves-13881564.html,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\FMCGIETF_NS_underperformance.png
Nifty FMCG,2026,Sudden crash,,,2026-03-30,-12.37,March 2026 broad selloff and FMCG FII outflows,https://www.moneycontrol.com/news/business/earnings/fiis-dump-rs-60-000-crore-financial-stocks-in-march-as-yields-spike-rbi-moves-13881564.html,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\FMCGIETF_NS_underperformance.png
Nifty IT,2022,Underperformance,2022-01-10,2022-12-30,2022-12-30,-84.92,"Global tech selloff, recession fears, rising rates",https://www.financialexpress.com/market/nifty-it-down-28-from-january-high-as-risk-of-recession-rises-2531662/,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXIT_underperformance.png
Nifty IT,2022,Sudden crash,,,2022-05-06,-15.76,"Global tech selloff, recession fears, rising rates",https://www.financialexpress.com/market/nifty-it-down-28-from-january-high-as-risk-of-recession-rises-2531662/,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXIT_underperformance.png
Nifty IT,2023,Sudden crash,,,2023-03-21,-9.79,US/Europe slowdown and IT spending caution,,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXIT_underperformance.png
Nifty IT,2024,Underperformance,2024-05-30,2024-06-04,2024-05-31,-11.74,Earnings caution and delayed discretionary tech spend,,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXIT_underperformance.png
Nifty IT,2024,Sudden crash,,,2024-04-16,-10.89,Earnings caution and delayed discretionary tech spend,,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXIT_underperformance.png
Nifty IT,2025,Underperformance,2025-06-23,2025-12-31,2025-09-29,-40.85,"US tariffs, sluggish growth, valuation compression",https://www.livemint.com/market/stock-market-news/nifty-it-plunges-13-ytd-can-india-us-trade-deal-fed-rate-cut-lift-index-in-2026/amp-11764580140740.html,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXIT_underperformance.png
Nifty IT,2025,Sudden crash,,,2025-04-07,-14.36,"US tariffs, sluggish growth, valuation compression",https://www.livemint.com/market/stock-market-news/nifty-it-plunges-13-ytd-can-india-us-trade-deal-fed-rate-cut-lift-index-in-2026/amp-11764580140740.html,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXIT_underperformance.png
Nifty IT,2026,Underperformance,2026-06-08,2026-07-23,2026-07-01,-22.02,IT lagged during broad 2026 market correction,,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXIT_underperformance.png
Nifty IT,2026,Sudden crash,,,2026-02-24,-22.07,IT lagged during broad 2026 market correction,,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXIT_underperformance.png
Nifty Pharma,2022,Underperformance,2022-05-05,2022-12-30,2022-07-26,-25.51,"US pricing pressure, raw-material costs, weak margins",https://www.business-standard.com/article/markets/prescription-for-recovery-in-fy23-for-underperforming-pharma-sector-stocks-122092500506_1.html,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXPHARMA_underperformance.png
Nifty Pharma,2022,Sudden crash,,,2022-05-12,-10.21,"US pricing pressure, raw-material costs, weak margins",https://www.business-standard.com/article/markets/prescription-for-recovery-in-fy23-for-underperforming-pharma-sector-stocks-122092500506_1.html,Flagged when 20-trading-day indexed return <= -8%.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXPHARMA_underperformance.png
Nifty Pharma,2025,Underperformance,2025-01-24,2025-12-31,2025-09-29,-47.97,Sharp correction from strong 2024 base,,Current year's start=100 path compared with previous year's start=100 path by nearest day-of-year; flagged when gap <= -10 points.,D:\project-learning\volume-analyzer\sector_index_analysis\selected_index_plots\annotated_underperformance\CNXPHARMA_underperformance.png
